,캠핑장ID,야영장명,태그
0,1,(주)데일리랜드 ,산맥 수풀 수영장 오토 장비 
1,2,(주)디노담양힐링파크 지점,호수 수영장 오토 글램핑 카라반 산책로 아이들 체험 
2,3,(주)쉐르빌리안티티,산맥 강가 수영장 글램핑 아이들 
3,4,(주)아웃오브파크,산맥 강가 카라반 
4,5,(주)양촌여울체험캠프,산맥 수풀 수영장 오토 카라반 애완견 산책로 체험 트레일러 
5,6,(주)어반슬로우시티,산맥 호수 수풀 오토 글램핑 카라반 
6,7,쥴리어스지점 휴토피아,수풀 강가 수영장 글램핑 
7,8,(주)자연에너지-드림랜드오토캠핑장,산맥 계곡 수영장 오토 산책로 아이들 장비 트레일러 
8,9,(주)자연인 ,수풀 글램핑 
9,10,(주)태평소금 천일염 힐링캠프,섬섬 수영장 카라반 아이들 장비 체험 트레일러 
10,11,505펜션&캠핑(오공오),수풀 수영장 오토 산책로 아이들 장비 트레일러 
11,12,80 SS 오토캠핑장,수풀 수영장 오토 글램핑 아이들 장비 트레일러 
12,13,A&J오토캠핑장 ,산맥 계곡 수풀 
13,14,Camp 1950 by 민들레울,수풀 수영장 오토 글램핑 산책로 아이들 장비 
14,15,CLUB 596,바다 수영장 글램핑 산책로 아이들 체험 
15,16,DMZ 마루캠핑,강가 수영장 오토 아이들 트레일러 
16,17,DMZ캠핑장 ,산맥 계곡 오토 
17,18,F1 오토캠핑장 ,바다 카라반 트레일러 
18,19,Najost Camp,계곡 오토 카라반 장비 체험 트레일러 
19,20,THATS CAMPING 횡성자연휴양림야영장,산맥 수영장 오토 글램핑 카라반 아이들 트레일러 
20,21,The Star 오토캠핑장,섬섬 수풀 바다 수영장 오토 카라반 아이들 장비 트레일러 
21,22,VIP오토캠핑장 ,산맥 계곡 오토 아이들 
22,23,W글램핑 ,강가 글램핑 아이들 체험 
23,24,YC글램핑,산맥 계곡 수풀 수영장 글램핑 
24,25,YELLOW HILL,산맥 수풀 
25,26,㈜씨스테이 야영장 ,섬섬 수영장 글램핑 
26,27,㈜제주글램핑,산맥 수풀 수영장 글램핑 아이들 
27,28,가람관광농원,산맥 호수 수풀 수영장 아이들 체험 트레일러 
28,29,가래골농원 캠핑장 ,산맥 수풀 수영장 아이들 장비 체험 트레일러 
29,30,가루실캠프 ,수풀 수영장 오토 글램핑 애완견 아이들 장비 트레일러 
30,31,가리산자연휴양림 야영장,산맥 수풀 오토 아이들 
31,32,가마실캠핑장 ,산맥 계곡 호수 수풀 수영장 아이들 장비 트레일러 
32,33,가산 글램핑 ,수풀 수영장 글램핑 카라반 산책로 아이들 
33,34,가산산성 야영장 ,산맥 오토 
34,35,가야권역 소리마실 영농조합법인 ,산맥 계곡 수영장 애완견 아이들 체험 트레일러 
35,36,가야랜드달빛야영장 ,수풀 강가 
36,37,가온누리캠핑체험장 ,수풀 수영장 오토 산책로 아이들 장비 트레일러 
37,38,가우도카라반펜션,바다 수영장 오토 카라반 아이들 
38,39,가은해솔캠핑장,수풀 수영장 오토 트레일러 
39,40,변산 오토캠핑장,바다 카라반 
40,41,가족쉼터,계곡 수풀 오토 아이들 
41,42,청계산 골든밸리 가족캠핑장,산맥 수풀 도심 오토 글램핑 
42,43,가지산 자연캠핑장 ,산맥 계곡 수풀 오토 
43,44,가창농원 야영장 ,산맥 수풀 수영장 오토 트레일러 
44,45,가평 사과나무 캠핑장 ,산맥 수풀 오토 아이들 
45,46,가평 운악홀리데이 캠핑장,산맥 글램핑 카라반 산책로 아이들 
46,47,가평황토은글램핑,산맥 계곡 수풀 수영장 글램핑 아이들 
